NAME,ID,HIST_DATE,ARCH_DATE_MIN,ARCH_DATE_MAX,ARCH_DATE_MID,ALTITUDE,TERR_UNDUL,LAND_TYPE,LAND_TYPE_SIMP,ALA,DIST_PRAGUE,DIST_MAJTOWN,DIST_MONAST,DIST_MAJROAD,DIST_MAJRIV,STATUS,LONG,LAT
Křeč,334,1358,1200,1300,1250,637,3.97,6,6+7,0,85567,16956,26645,4981,39968,0,-717699.698,-1124819.973
Hartvíkov,335,1369,1200,1300,1250,648,3.81,6,6+7,0,77434,15236,20429,7491,34911,0,-720443.4272,-1117153.671
Hroby,336,1358,1200,1300,1250,499,3.56,7,6+7,0,83505,11845,27552,1551,35645,0,-722761.1772,-1124083.108
Sezimovo Ústí,337,1250,1200,1300,1250,399,2.53,7,6+7,0,80340,34,24230,7475,26344,1,-734519.2606,-1122932.171
Tábor,338,1268,1200,1300,1250,453,2.98,8,8,0,76803,3677,21541,7139,27107,1,-735954.6251,-1119517.723
Modlíkov,339,1394,1200,1300,1250,516,5.13,7,6+7,0,66617,19680,7770,16489,18656,0,-748822.6356,-1109366.983
Zhoř,340,1392,1200,1300,1250,560,4.3,7,6+7,0,65237,25370,5064,20779,14493,0,-754471.4897,-1107207.983
Rataje,341,1352,1200,1300,1250,400,2.69,8,8,0,82040,17667,13160,23907,10162,0,-752141.8335,-1124528.931
Sudoměřice u Bechyně,342,1352,1275,1325,1300,441,2.32,8,8,0,89172,5245,22379,18496,11371,0,-746365.9793,-1132122.473
Soběslav,343,1293,1200,1300,1250,406,2.12,8,8,0,94566,2,33628,5023,21080,1,-733837.9585,-1137160.14
Dynín,344,1341,1200,1300,1250,424,1.1,8,8,0,106779,15011,36697,7024,12565,0,-741939.5001,-1149796.64
Dolní Bukovsko,346,1323,1250,1300,1275,446,1.61,8,8,0,102579,14099,35336,12117,9070,1,-745151.5418,-1145573.89
Žimutice,347,1261,1200,1300,1250,444,2.55,8,8,0,98421,16416,29899,18405,4851,0,-749750.0002,-1141197.681
Březí u Týna nad Vltavou,348,1357,1200,1300,1250,491,3.33,7,6+7,0,100895,20342,30765,16937,4007,0,-758846.3752,-1142634.369
Horní Záhoří,349,1575,1200,1300,1250,484,3.65,8,8,0,84111,6244,16905,8779,4728,0,-769006.3752,-1122949.369
